Product,Product Code,Reported Short Positions,Total Product in Issue,% of Total Product in Issue Reported as Short Positions
4DMEDICAL LIMITED ORDINARY,4DX,17000,294491837,.00577266
4DS MEMORY LIMITED ORDINARY,4DS,554651,1479765442,.03748236
5EADVANCED CDI 10:1,5EA,1094330,282587930,.38725292
29METALSLIMITED ORDINARY,29M,26212971,481356099,5.44565054
88 ENERGY LTD ORDINARY,88E,19878484,18265762962,.1088292
92ENERGY ORDINARY,92E,667406,86648696,.77024356
A-CAP ENERGY LTD ORDINARY,ACB,493710,1232435086,.04005972
A2B AUSTRALIA LTD ORDINARY,A2B,867590,121230683,.71565216
ABACUS PROPERTY GRP. FPO/UNITS STAPLED,ABP,3298543,893657633,.36910589
ACCENT GROUP LTD ORDINARY,AX1,4408524,552459958,.79798073
ACTINOGEN MEDICAL ORDINARY,ACW,1345415,1806252150,.07448655
ADAIRS LIMITED ORDINARY,ADH,6950522,171316433,4.0571251
ADBRI LIMITED ORDINARY,ABC,17474310,652627555,2.67753175
ADORE BEAUTY ORDINARY,ABY,1728735,94124497,1.83664727
ADRIATIC METALS CDI 1:1,ADT,681456,217418883,.31343
ADVANCED HEALTH ORDINARY,AHI,35608,196053969,.01816235
AERIS RESOURCES LTD ORDINARY,AIS,3903056,690945595,.56488615
AGL ENERGY LIMITED. ORDINARY,AGL,19457752,672747233,2.89228272
AIC MINES LTD ORDINARY,A1M,15088,388631248,.00388234
AIR NEW ZEALAND ORD FOR. EXEMPT NZX,AIZ,374939,3368464315,.01113086
AIRTASKER LIMITED ORDINARY,ART,162087,449497214,.03605962
ALCIDION GROUP LTD ORDINARY,ALC,1811548,1268069053,.14285878
ALKANE RESOURCES LTD ORDINARY,ALK,108628,598792592,.01814117
ALLIANCE AVIATION ORDINARY,AQZ,149936,160734697,.09328166
ALLIGATOR ENERGY ORDINARY,AGE,49677251,3303266652,1.50388256
ALLKEM LIMITED ORDINARY,AKE,4035040,637658086,.63279053
ALPHA HPA LTD ORDINARY,A4N,3512649,857219604,.40977236
ALS LTD ORDINARY,ALQ,5821382,484167684,1.20234832
ALTECH CHEM LTD ORDINARY,ATC,407177,1426765869,.02853846
ALTERITY THERAP LTD ORDINARY,ATH,280150,2416418418,.0115936
ALTIUM LIMITED ORDINARY,ALU,819109,131647099,.62220057
ALUMINA LIMITED ORDINARY,AWC,147573143,2901681417,5.08578034
AMA GROUP LIMITED ORDINARY,AMA,50021474,1073070217,4.6615285
AMCOR PLC CDI1:1FOREXEMPT NYSE,AMC,10495038,657467999,1.59628119
AMERICAN RARE EARTHS ORDINARY,ARR,117,446380799,.00002621
AMP LIMITED ORDINARY,AMP,44374364,3057080141,1.45152767
AMPOL LIMITED ORDINARY,ALD,883561,238302099,.37077349
ANDROMEDA METALS LTD ORDINARY,ADN,10270307,3110008432,.33023406
ANSELL LIMITED ORDINARY,ANN,3189773,127168118,2.50831187
ANTEOTECH LTD ORDINARY,ADO,1287378,1988446230,.06474291
ANTILLES GOLD LTD ORDINARY,AAU,36669,466310633,.00786364
ANTIPA MINERALS LTD ORDINARY,AZY,1570116,3593040870,.04369881
ANZ GROUP HOLDINGS DEFERRED SETTLEMENT,ANZDA,10801155,2993302382,.3608441
ANZ GROUP HOLDINGS ORDINARY,ANZ,1683448,3003366782,.05605203
APA GROUP UNITS STAPLED,APA,9437288,1179893848,.79984212
APM HUMAN SERVICES ORDINARY,APM,11056963,917181946,1.20553649
APPEN LIMITED ORDINARY,APX,4052299,123446356,3.28263963
ARAFURA RARE EARTHS ORDINARY,ARU,1865069,1986561738,.09388427
ARB CORPORATION. ORDINARY,ARB,4733540,81971722,5.77460115
ARCHER MATERIALS ORDINARY,AXE,688465,248967207,.27652839
ARCHTIS LIMITED ORDINARY,AR9,125,283956100,.00004402
ARDENTLEISUREGRPLTD ORDINARY,ALG,5362270,479706016,1.11782421
ARENA REIT. FPO/UNITS STAPLED,ARF,3389632,348715426,.97203386
ARGOSY MINERALS LTD ORDINARY,AGY,16442829,1404407498,1.17080185
ARISTOCRAT LEISURE ORDINARY,ALL,1051638,657402014,.15996878
ARIZONA LITHIUM LTD ORDINARY,AZL,9539914,2409925561,.39585928
ASTON MINERALS LTD ORDINARY,ASO,1080766,1113530934,.09705756
ASX LIMITED ORDINARY,ASX,2669501,193595162,1.37890894
ATLAS ARTERIA FPOSTUSPROHEXCLQUP,ALX,7644760,1450833707,.52692186
ATOMOS ORDINARY,AMS,3373715,401821079,.83960628
AU CLINICAL LABS ORDINARY,ACL,9190888,201834015,4.55368635
AUB GROUP LTD ORDINARY,AUB,257350,101530518,.25347059
AUCKLAND INTERNATION ORD FOR.EXEMPT NZX,AIA,5469875,1472551137,.37145569
AUDINATEGROUPLTD ORDINARY,AD8,1187309,77443919,1.53312102
AURA ENERGY ORDINARY,AEE,2668952,512630887,.52063816
AURELIA METALS LTD ORDINARY,AMI,68580186,1237437216,5.54211439
AURIZON HOLDINGS LTD ORDINARY,AZJ,28688690,1840703982,1.55857163
AUSGOV TREASURY BOND TB 0.25% 11-24 6M,GSBU24,1280000,413000000,.30992736
AUSGOV TREASURY BOND TB 0.25% 11-25 6M,GSBU25,1561500,387000000,.40348837
AUSGOV TREASURY BOND TB 1.00% 11-31 6M,GSBU31,792160,418000000,.18951196
AUSGOV TREASURY BOND TB 1.00% 12-30 6M,GSBW30,74290,387000000,.01919638
AUSGOV TREASURY BOND TB 1.25% 05-32 6M,GSBI32,489860,393000000,.12464631
AUSGOV TREASURY BOND TB 1.50% 06-31 6M,GSBK31,249660,381000000,.06552756
AUSGOV TREASURY BOND TB 1.75% 06-51 6M,GSBK51,87230,187000000,.04664706
AUSGOV TREASURY BOND TB 1.75% 11-32 6M,GSBU32,565650,278000000,.20347122
AUSGOV TREASURY BOND TB 2.50% 05-30 6M,GSBI30,78130,371000000,.0210593
AUSGOV TREASURY BOND TB 2.75% 04-24 6M,GSBG24,3420000,359000000,.95264624
AUSGOV TREASURY BOND TB 2.75% 05-41 6M,GSBI41,257280,135000000,.19057778
AUSGOV TREASURY BOND TB 2.75% 06-35 6M,GSBK35,100000,95500000,.10471204
AUSGOV TREASURY BOND TB 2.75% 11-27 6M,GSBU27,148390,314000000,.04725796
