Product,Product Code,Reported Short Positions,Total Product in Issue,% of Total Product in Issue Reported as Short Positions
4DMEDICAL LIMITED ORDINARY,4DX,39340,294491837,.0133586
4DS MEMORY LIMITED ORDINARY,4DS,554651,1479765442,.03748236
5EADVANCED CDI 10:1,5EA,2964644,283459130,1.04588058
29METALSLIMITED ORDINARY,29M,21201188,481356099,4.40447063
88 ENERGY LTD ORDINARY,88E,17276588,18265762962,.09458454
92ENERGY ORDINARY,92E,771714,81878696,.9425089
A-CAP ENERGY LTD ORDINARY,ACB,553770,1232435086,.044933
A2B AUSTRALIA LTD ORDINARY,A2B,867590,121230683,.71565216
ABACUS PROPERTY GRP. FPO/UNITS STAPLED,ABP,5056591,893657633,.5658309
ACCENT GROUP LTD ORDINARY,AX1,4382764,541866715,.80882695
ACTINOGEN MEDICAL ORDINARY,ACW,1604956,1797393817,.08929351
ADAIRS LIMITED ORDINARY,ADH,8534150,171316433,4.98151278
ADBRI LIMITED ORDINARY,ABC,21988960,652627555,3.3692969
ADORE BEAUTY ORDINARY,ABY,1661496,94124497,1.76521103
ADRIATIC METALS CDI 1:1,ADT,841749,213604493,.39406896
ADV HUMAN IMAG LTD ORDINARY,AHI,43608,168249382,.02591867
AERIS RESOURCES LTD ORDINARY,AIS,4607931,690945595,.66690215
AGL ENERGY LIMITED. ORDINARY,AGL,21596519,672747233,3.21019812
AIC MINES LTD ORDINARY,A1M,238229,312608091,.07620692
AIRTASKER LIMITED ORDINARY,ART,194303,449400386,.04323606
ALCIDION GROUP LTD ORDINARY,ALC,1682421,1268069053,.13267582
ALKANE RESOURCES LTD ORDINARY,ALK,3904544,598792592,.65206952
ALLIANCE AVIATION ORDINARY,AQZ,150577,160734697,.09368046
ALLIGATOR ENERGY ORDINARY,AGE,66343699,3303266652,2.00842699
ALLKEM LIMITED ORDINARY,AKE,3909749,637658086,.61314192
ALPHA HPA LTD ORDINARY,A4N,3987754,857219604,.46519631
ALS LTD ORDINARY,ALQ,3639234,484167684,.75164744
ALTECH CHEM LTD ORDINARY,ATC,972438,1426765869,.0681568
ALTHEA GROUP ORDINARY,AGH,68394,348346988,.01963387
