Product,Product Code,Reported Short Positions,Total Product in Issue,% of Total Product in Issue Reported as Short Positions
4DMEDICAL LIMITED ORDINARY,4DX,227881,294491837,.07738109
4DS MEMORY LIMITED ORDINARY,4DS,1536966,1479765442,.10386552
5EADVANCED CDI 10:1,5EA,1400157,288419770,.48545805
29METALSLIMITED ORDINARY,29M,20283466,481319391,4.21413855
88 ENERGY LTD ORDINARY,88E,20000996,18265762962,.10949992
92ENERGY ORDINARY,92E,5629621,81878696,6.8755626
A-CAP ENERGY LTD ORDINARY,ACB,587196,1232435086,.04764519
A2B AUSTRALIA LTD ORDINARY,A2B,985933,121230683,.81327019
ABACUS PROPERTY GRP. FPO/UNITS STAPLED,ABP,1851268,892429122,.20744146
ACCENT GROUP LTD ORDINARY,AX1,3401023,541866715,.62764937
ACTINOGEN MEDICAL ORDINARY,ACW,539175,1795893817,.03002265
ADAIRS LIMITED ORDINARY,ADH,7544856,171316433,4.40404687
ADBRI LIMITED ORDINARY,ABC,11467085,652627555,1.75706418
ADORE BEAUTY ORDINARY,ABY,4063259,94124497,4.3168985
ADRIATIC METALS CDI 1:1,ADT,1369778,207769545,.65927757
ADV HUMAN IMAG LTD ORDINARY,AHI,43612,168249382,.02592105
AERIS RESOURCES LTD DEFERRED SETTLEMENT,AISDB,2,690945286,.00000029
AERIS RESOURCES LTD ORDINARY,AIS,7271359,690945595,1.05237794
AGL ENERGY LIMITED. ORDINARY,AGL,16956215,672747233,2.52044366
AIRTASKER LIMITED ORDINARY,ART,398503,448535468,.08884537
ALCIDION GROUP LTD ORDINARY,ALC,1871135,1268069053,.14755782
ALKANE RESOURCES LTD ORDINARY,ALK,547511,595583420,.09192852
ALLIANCE AVIATION ORDINARY,AQZ,114299,160734697,.07111035
ALLIGATOR ENERGY ORDINARY,AGE,60975011,3301350989,1.84697147
ALLKEM LIMITED ORDINARY,AKE,4712004,637658086,.73895464
ALPHA HPA LTD ORDINARY,A4N,3421919,812236624,.42129583
ALS LTD ORDINARY,ALQ,1798255,484167684,.37141161
ALTIUM LIMITED ORDINARY,ALU,1043648,131469072,.79383537
ALUMINA LIMITED ORDINARY,AWC,109887608,2901681417,3.78703214
