Product,Product Code,Reported Short Positions,Total Product in Issue,% of Total Product in Issue Reported as Short Positions
4DMEDICAL LIMITED ORDINARY,4DX,46973,294491837,.01595053
4DS MEMORY LIMITED ORDINARY,4DS,554651,1479765442,.03748236
5EADVANCED CDI 10:1,5EA,3485605,283459130,1.22966757
29METALSLIMITED ORDINARY,29M,19969343,481356099,4.14855926
88 ENERGY LTD ORDINARY,88E,22088639,18265762962,.12092919
92ENERGY ORDINARY,92E,771714,81878696,.9425089
A-CAP ENERGY LTD ORDINARY,ACB,553770,1232435086,.044933
A2B AUSTRALIA LTD ORDINARY,A2B,867590,121230683,.71565216
ABACUS PROPERTY GRP. FPO/UNITS STAPLED,ABP,4124804,893657633,.46156423
ACCENT GROUP LTD ORDINARY,AX1,3990124,552459958,.72224673
ACTINOGEN MEDICAL ORDINARY,ACW,1512246,1797393817,.08413548
ADAIRS LIMITED ORDINARY,ADH,7896854,171316433,4.60951344
ADBRI LIMITED ORDINARY,ABC,20170289,652627555,3.09062785
ADORE BEAUTY ORDINARY,ABY,1619063,94124497,1.72012925
ADRIATIC METALS CDI 1:1,ADT,817044,213604493,.38250319
ADV HUMAN IMAG LTD ORDINARY,AHI,44608,168249382,.02651302
AERIS RESOURCES LTD ORDINARY,AIS,4630795,690945595,.67021123
AGL ENERGY LIMITED. ORDINARY,AGL,19987238,672747233,2.97098777
AIC MINES LTD ORDINARY,A1M,741,348477811,.00021264
AIR NEW ZEALAND ORD FOR. EXEMPT NZX,AIZ,209675,3368464315,.00622465
AIRTASKER LIMITED ORDINARY,ART,169623,449400386,.03774429
ALCIDION GROUP LTD ORDINARY,ALC,1644687,1268069053,.12970011
ALKANE RESOURCES LTD ORDINARY,ALK,4239949,598792592,.70808308
ALLIANCE AVIATION ORDINARY,AQZ,150136,160734697,.09340609
ALLIGATOR ENERGY ORDINARY,AGE,66338460,3303266652,2.00826839
ALLKEM LIMITED ORDINARY,AKE,4129324,637658086,.64757651
ALPHA HPA LTD ORDINARY,A4N,3972220,857219604,.46338418
ALS LTD ORDINARY,ALQ,3245332,484167684,.67029092
ALTECH CHEM LTD ORDINARY,ATC,996710,1426765869,.06985799
ALTHEA GROUP ORDINARY,AGH,73394,348346988,.02106922
ALTIUM LIMITED ORDINARY,ALU,1173555,131641513,.8914779
ALUMINA LIMITED ORDINARY,AWC,164736389,2901681417,5.67727346
AMA GROUP LIMITED ORDINARY,AMA,41484392,1073070217,3.86595316
AMCOR PLC CDI1:1FOREXEMPT NYSE,AMC,11195274,659298808,1.69805767
AMERICAN RARE EARTHS ORDINARY,ARR,28345,444380799,.00637854
AMP LIMITED ORDINARY,AMP,47398688,3115923583,1.5211762
AMPOL LIMITED ORDINARY,ALD,346648,238302099,.14546578
ANDROMEDA METALS LTD ORDINARY,ADN,9325902,3110008432,.29986742
ANGLOGOLD ASHANTI CDI  5:1 FOR. EXEMPT,AGG,19087,89207765,.02139612
ANSARADA GROUP LTD ORDINARY,AND,1,89335568,.00000112
ANSELL LIMITED ORDINARY,ANN,3319692,127168118,2.61047506
ANTEOTECH LTD ORDINARY,ADO,1287378,1987946230,.0647592
ANTIPA MINERALS LTD ORDINARY,AZY,2318951,3593040870,.06454007
