Product,Product Code,Reported Short Positions,Total Product in Issue,% of Total Product in Issue Reported as Short Positions
4DMEDICAL LIMITED ORDINARY,4DX,728825,294491837,.24748564
4DS MEMORY LIMITED ORDINARY,4DS,758113,1479765442,.05123197
5EADVANCED CDI 10:1,5EA,1030809,280272940,.36778756
29METALSLIMITED ORDINARY,29M,27249727,481356099,5.66103287
88 ENERGY LTD ORDINARY,88E,22252825,18265762962,.12182806
92ENERGY ORDINARY,92E,695685,86648696,.80287994
A-CAP ENERGY LTD ORDINARY,ACB,734856,1232435086,.05962635
A2B AUSTRALIA LTD ORDINARY,A2B,867590,121230683,.71565216
ABACUS PROPERTY GRP. FPO/UNITS STAPLED,ABP,3146698,893657633,.35211449
ACCENT GROUP LTD ORDINARY,AX1,2760238,552459958,.4996268
ACTINOGEN MEDICAL ORDINARY,ACW,1460403,1806252150,.08085267
ADAIRS LIMITED ORDINARY,ADH,3155047,172146192,1.83277188
ADBRI LIMITED ORDINARY,ABC,19820192,652627555,3.03698363
ADORE BEAUTY ORDINARY,ABY,1723990,94124497,1.83160607
ADRIATIC METALS CDI 1:1,ADT,169979,217997441,.07797293
ADVANCED HEALTH ORDINARY,AHI,34608,196053969,.01765228
AERIS RESOURCES LTD ORDINARY,AIS,2228016,690945595,.32245896
AGL ENERGY LIMITED. ORDINARY,AGL,12513469,672747233,1.86005507
AIC MINES LTD ORDINARY,A1M,1430333,395557725,.36159906
AIRTASKER LIMITED ORDINARY,ART,41985,449561794,.00933909
ALCIDION GROUP LTD ORDINARY,ALC,1570009,1268069053,.123811
ALKANE RESOURCES LTD ORDINARY,ALK,165243,598792592,.02759603
ALLIANCE AVIATION ORDINARY,AQZ,97354,160734697,.06056813
ALLIGATOR ENERGY ORDINARY,AGE,39166753,3303266652,1.18569759
ALLKEM LIMITED ORDINARY,AKE,7862009,637658086,1.23295057
ALPHA HPA LTD ORDINARY,A4N,3284721,857731079,.38295464
ALS LTD ORDINARY,ALQ,2045641,484167684,.42250672
ALTIUM LIMITED ORDINARY,ALU,860284,131647099,.65347737
ALUMINA LIMITED ORDINARY,AWC,160242935,2901681417,5.52241656
AMA GROUP LIMITED ORDINARY,AMA,69907927,1073070217,6.51475792
AMCOR PLC CDI1:1FOREXEMPT NYSE,AMC,9164447,652071925,1.40543499
AMP LIMITED ORDINARY,AMP,33422234,3043140026,1.09828117
AMPOL LIMITED ORDINARY,ALD,1572226,238302099,.65976171
ANDROMEDA METALS LTD ORDINARY,ADN,8316172,3110008432,.2674003
ANSELL LIMITED ORDINARY,ANN,4221411,127168118,3.31955137
ANSON RESOURCES LTD ORDINARY,ASN,8331664,1178254923,.70711896
ANTEOTECH LTD ORDINARY,ADO,898403,1988446230,.04518116
ANTIPA MINERALS LTD ORDINARY,AZY,1963063,3593040870,.05463514
