Product,Product Code,Reported Short Positions,Total Product in Issue,% of Total Product in Issue Reported as Short Positions
4DMEDICAL LIMITED ORDINARY,4DX,202303,390883800,.05175528
5EADVANCED CDI 10:1,5EA,445000,313171270,.14209477
5G NETWORKS LIMITED. ORDINARY,5GN,14927,342345347,.00436022
29METALSLIMITED ORDINARY,29M,14315280,701315330,2.04120449
88 ENERGY LTD ORDINARY,88E,6580151,25124062567,.02619063
ABACUS GROUP FPO/UNITS STAPLED,ABG,1168411,893657633,.13074481
ABACUS STORAGE KING FPO/UNITS STAPLED,ASK,41201,1314102962,.00313529
ACCENT GROUP LTD ORDINARY,AX1,4951856,563053196,.87946504
ACTINOGEN MEDICAL ORDINARY,ACW,84,2331172186,.0000036
ACUSENSUS LIMITED. ORDINARY,ACE,150744,126399975,.11925952
ADAIRS LIMITED ORDINARY,ADH,2375632,173050982,1.37279313
ADBRI LIMITED ORDINARY,ABC,4483253,653329543,.68621617
ADORE BEAUTY ORDINARY,ABY,542816,93957928,.5777224
ADRIATIC METALS CDI 1:1,ADT,2735334,242431128,1.12829323
ADVANCED HEALTH ORDINARY,AHI,20052,244428086,.00820364
AERIS RESOURCES LTD ORDINARY,AIS,6631614,967525540,.68542005
AGL ENERGY LIMITED. ORDINARY,AGL,19228560,672747233,2.85821465
AINSWORTH GAME TECH. ORDINARY,AGI,87852,336793929,.02608479
AIR NEW ZEALAND ORD FOR. EXEMPT NZX,AIZ,267152,3368464315,.00793097
AIRTASKER LIMITED ORDINARY,ART,55451,452149531,.01226386
ALCIDION GROUP LTD ORDINARY,ALC,771214,1342473221,.05744725
ALICE QUEEN LTD ORDINARY,AQX,8359,690984130,.00120972
ALKANE RESOURCES LTD ORDINARY,ALK,2160374,603437317,.35801134
ALLIANCE AVIATION ORDINARY,AQZ,3027,160734697,.00188323
ALLIANCE NICKEL LTD ORDINARY,AXN,516,725839615,.00007109
ALLIGATOR ENERGY ORDINARY,AGE,28991515,3862309002,.7506265
ALPHA HPA LTD ORDINARY,A4N,11429498,933799090,1.22397828
ALS LTD ORDINARY,ALQ,2761177,484167684,.57029353
ALTECH BATT LTD ORDINARY,ATC,2014330,1653325887,.12183502
ALTERITY THERAP LTD ORDINARY,ATH,1714968,4382754741,.03912991
ALTIUM LIMITED ORDINARY,ALU,636869,131926838,.48274408
ALUMINA LIMITED ORDINARY,AWC,65362988,2901681417,2.25259009
AMA GROUP LIMITED ORDINARY,AMA,21545622,1806403551,1.19273581
AMCOR PLC CDI1:1FOREXEMPT NYSE,AMC,10890554,636788321,1.71023143
AMERICAN RARE EARTHS ORDINARY,ARR,738698,493423299,.14970878
AMERICANWESTMETALS ORDINARY,AW1,284174,484328010,.05867387
AMP LIMITED ORDINARY,AMP,39300101,2741080904,1.43374466
AMPOL LIMITED ORDINARY,ALD,3204385,238302099,1.34467343
ANDROMEDA METALS LTD ORDINARY,ADN,41938581,3110270932,1.34838996
ANSELL LIMITED ORDINARY,ANN,2687324,124785771,2.15355002
ANSON RESOURCES LTD ORDINARY,ASN,17200269,1286728206,1.33674454
ANTEOTECH LTD ORDINARY,ADO,420,2196442432,.00001912
ANTIPA MINERALS LTD ORDINARY,AZY,645784,4134807912,.01561823
ANZ GROUP HOLDINGS ORDINARY,ANZ,13400416,3007510678,.44556503
APA GROUP UNITS STAPLED,APA,11696522,1282957939,.91168398
APM HUMAN SERVICES ORDINARY,APM,15275644,917181946,1.66549768
APPEN LIMITED ORDINARY,APX,13864262,219241870,6.32372913
AQUIRIANLIMITED ORDINARY,AQN,10453,80673971,.01295709
ARAFURA RARE EARTHS ORDINARY,ARU,111616235,2310302192,4.83123963
ARB CORPORATION. ORDINARY,ARB,2883733,82220441,3.50731882
ARCADIUM LITHIUM PLC CDI1:1FOREXEMPT NYSE,LTM,5441894,422589693,1.28774887
ARDEA RESOURCES LTD ORDINARY,ARL,10173,197016915,.00516352
ARENA REIT. FPO/UNITS STAPLED,ARF,1212475,355149912,.34139809
