Product,Product Code,Reported Short Positions,Total Product in Issue,% of Total Product in Issue Reported as Short Positions
4DMEDICAL LIMITED ORDINARY,4DX,40977,295110455,.01388531
4DS MEMORY LIMITED ORDINARY,4DS,758113,1632543220,.04643755
5EADVANCED CDI 10:1,5EA,1454694,283668470,.51281484
29METALSLIMITED ORDINARY,29M,20104782,482052092,4.17066585
88 ENERGY LTD ORDINARY,88E,5772535,20107868225,.02870784
92ENERGY ORDINARY,92E,635752,92686598,.68591578
A-CAP ENERGY LTD ORDINARY,ACB,463382,1232435086,.0375989
A2B AUSTRALIA LTD ORDINARY,A2B,810630,121230683,.66866735
ABACUS PROPERTY GRP. FPO/UNITS STAPLED,ABP,1759335,893657633,.19686902
ACCENT GROUP LTD ORDINARY,AX1,3673109,552459958,.66486429
ACROW FORMWORK ORDINARY,ACF,35,265667109,.00001317
ACTINOGEN MEDICAL ORDINARY,ACW,1428930,1816252150,.07867465
ADAIRS LIMITED ORDINARY,ADH,2865938,173050982,1.65612351
ADBRI LIMITED ORDINARY,ABC,12091671,652627555,1.85276746
ADORE BEAUTY ORDINARY,ABY,1518912,94124497,1.61372655
ADRIATIC METALS CDI 1:1,ADT,522642,227167673,.23006883
ADVANCED HEALTH ORDINARY,AHI,34608,196303969,.0176298
AERIS RESOURCES LTD ORDINARY,AIS,3096308,690945595,.44812617
AGL ENERGY LIMITED. ORDINARY,AGL,6457736,672747233,.95990525
AIC MINES LTD ORDINARY,A1M,41616,462224392,.00900342
AIR NEW ZEALAND ORD FOR. EXEMPT NZX,AIZ,636809,3368464315,.01890502
AIRTASKER LIMITED ORDINARY,ART,236246,449623230,.0525431
ALCIDION GROUP LTD ORDINARY,ALC,1405169,1268069053,.11081171
ALKANE RESOURCES LTD ORDINARY,ALK,922784,598792592,.15410745
ALLIANCE AVIATION ORDINARY,AQZ,88011,160734697,.05475545
ALLIGATOR ENERGY ORDINARY,AGE,43592024,3304550761,1.31915129
ALLKEM LIMITED ORDINARY,AKE,17801315,637658086,2.79167086
ALS LTD ORDINARY,ALQ,1344520,484167684,.27769718
ALTIUM LIMITED ORDINARY,ALU,1038519,131647099,.78886585
ALUMINA LIMITED ORDINARY,AWC,161104790,2901681417,5.55211847
