Product,Product Code,Reported Short Positions,Total Product in Issue,% of Total Product in Issue Reported as Short Positions
3P LEARNING LTD ORDINARY,3PL,33,276484170,.00001194
4DMEDICAL LIMITED ORDINARY,4DX,58055,294491837,.01971362
4DS MEMORY LIMITED ORDINARY,4DS,475648,1479765442,.03214347
5EADVANCED CDI 10:1,5EA,1617202,283005560,.57143824
29METALSLIMITED ORDINARY,29M,22983703,481329528,4.7750453
88 ENERGY LTD ORDINARY,88E,21056808,18265762962,.1152802
92ENERGY ORDINARY,92E,712487,81878696,.87017385
A-CAP ENERGY LTD ORDINARY,ACB,553664,1232435086,.04492439
A2B AUSTRALIA LTD ORDINARY,A2B,985933,121230683,.81327019
ABACUS PROPERTY GRP. FPO/UNITS STAPLED,ABP,5424117,893657633,.60695694
ACCENT GROUP LTD ORDINARY,AX1,3598235,541866715,.66404429
ACTINOGEN MEDICAL ORDINARY,ACW,1366320,1795893817,.07608022
ADAIRS LIMITED ORDINARY,ADH,8967840,171316433,5.23466421
ADBRI LIMITED ORDINARY,ABC,20675234,652627555,3.16799894
ADORE BEAUTY ORDINARY,ABY,2485161,94124497,2.6402914
ADRIATIC METALS CDI 1:1,ADT,748195,213953254,.34970022
ADV HUMAN IMAG LTD ORDINARY,AHI,43608,168249382,.02591867
AERIS RESOURCES LTD ORDINARY,AIS,4632294,690945595,.67042818
AGL ENERGY LIMITED. ORDINARY,AGL,14488688,672747233,2.15365999
AIC MINES LTD ORDINARY,A1M,222577,312483091,.07122849
AINSWORTH GAME TECH. ORDINARY,AGI,446,336793929,.00013243
AIRTASKER LIMITED ORDINARY,ART,224886,449400386,.05004135
ALCIDION GROUP LTD ORDINARY,ALC,1785411,1268069053,.14079762
ALKANE RESOURCES LTD ORDINARY,ALK,2869228,598792592,.47916892
ALLEGIANCE COAL LTD ORDINARY,AHQ,67747,719820140,.00941166
ALLIANCE AVIATION ORDINARY,AQZ,151901,160734697,.09450418
ALLIGATOR ENERGY ORDINARY,AGE,65374356,3303266652,1.97908201
ALLKEM LIMITED ORDINARY,AKE,3834986,637658086,.60141729
ALPHA HPA LTD ORDINARY,A4N,4536909,812236624,.55856986
ALS LTD ORDINARY,ALQ,5619502,484167684,1.16065202
ALTECH CHEM LTD ORDINARY,ATC,830031,1426765869,.0581757
ALTHEA GROUP ORDINARY,AGH,60882,328272360,.01854619
ALTIUM LIMITED ORDINARY,ALU,1320581,131641513,1.00316456
ALUMINA LIMITED ORDINARY,AWC,198290545,2901681417,6.83364286
AMA GROUP LIMITED ORDINARY,AMA,42222677,1073070217,3.93475435
AMCOR PLC CDI1:1FOREXEMPT NYSE,AMC,16905085,663073722,2.54950309
AMERICAN RARE EARTHS ORDINARY,ARR,270339,444380799,.06083499
AMP LIMITED ORDINARY,AMP,43285968,3115923583,1.3891858
AMPOL LIMITED ORDINARY,ALD,865232,238302099,.36308199
