Product,Product Code,Reported Short Positions,Total Product in Issue,% of Total Product in Issue Reported as Short Positions
4DMEDICAL LIMITED ORDINARY,4DX,221039,391089870,.05651872
4DS MEMORY LIMITED ORDINARY,4DS,118343,1763434918,.00671094
5EADVANCED CDI 10:1,5EA,453599,313803360,.1445488
29METALSLIMITED ORDINARY,29M,15354530,701699237,2.18819249
88 ENERGY LTD ORDINARY,88E,6580151,25124062567,.02619063
ABACUS GROUP FPO/UNITS STAPLED,ABG,1041770,893657633,.11657373
ABACUS STORAGE KING FPO/UNITS STAPLED,ASK,54052,1314102962,.00411322
ACCENT GROUP LTD ORDINARY,AX1,6245281,563053196,1.10918134
ACTINOGEN MEDICAL ORDINARY,ACW,84,2331337384,.0000036
ACUSENSUS LIMITED. ORDINARY,ACE,150777,126399975,.11928562
ADAIRS LIMITED ORDINARY,ADH,1125703,173050982,.65050368
ADBRI LIMITED ORDINARY,ABC,847416,654243396,.12952611
ADORE BEAUTY ORDINARY,ABY,551779,93957928,.58726178
ADRIATIC METALS CDI 1:1,ADT,2894368,246113823,1.17602822
ADVANCED HEALTH ORDINARY,AHI,20052,245653382,.00816272
AERIS RESOURCES LTD ORDINARY,AIS,6183507,967525540,.6391053
AGL ENERGY LIMITED. ORDINARY,AGL,18425987,672747233,2.7389168
AINSWORTH GAME TECH. ORDINARY,AGI,278544,336793929,.08270458
AIR NEW ZEALAND ORD FOR. EXEMPT NZX,AIZ,1168250,3368464315,.03468198
AIRTASKER LIMITED ORDINARY,ART,49758,452294380,.01100124
ALCIDION GROUP LTD ORDINARY,ALC,318112,1342473221,.02369597
ALICE QUEEN LTD ORDINARY,AQX,8359,690984130,.00120972
ALKANE RESOURCES LTD ORDINARY,ALK,1389165,603437317,.23020867
ALLIANCE AVIATION ORDINARY,AQZ,3027,160734697,.00188323
ALLIGATOR ENERGY ORDINARY,AGE,32286973,3862309002,.83595002
ALPHA HPA LTD ORDINARY,A4N,16664298,933799090,1.78456995
ALS LTD ORDINARY,ALQ,2978020,484167684,.61508029
ALTECH BATT LTD ORDINARY,ATC,2033239,1653325887,.12297872
ALTERITY THERAP LTD ORDINARY,ATH,1714968,5238017899,.03274078
ALTIUM LIMITED ORDINARY,ALU,650110,131926838,.4927807
ALUMINA LIMITED ORDINARY,AWC,68475964,2901681417,2.35987189
AMA GROUP LIMITED ORDINARY,AMA,22174718,1806403551,1.22756169
