Product,Product Code,Reported Short Positions,Total Product in Issue,% of Total Product in Issue Reported as Short Positions
4DMEDICAL LIMITED ORDINARY,4DX,80020,346466690,.02309602
5EADVANCED CDI 10:1,5EA,456507,304026100,.15015388
29METALSLIMITED ORDINARY,29M,23599551,701259581,3.36530889
88 ENERGY LTD ORDINARY,88E,6580151,22118655043,.02974933
A2B AUSTRALIA LTD ORDINARY,A2B,524176,121585271,.43111801
ABACUS GROUP FPO/UNITS STAPLED,ABG,2043216,893657633,.22863521
ABACUS STORAGE KING FPO/UNITS STAPLED,ASK,54434,1314102962,.00414229
ACCENT GROUP LTD ORDINARY,AX1,3614614,563053196,.6419667
ACTINOGEN MEDICAL ORDINARY,ACW,1070,2254060088,.00004747
ADAIRS LIMITED ORDINARY,ADH,4909387,173050982,2.83695992
ADBRI LIMITED ORDINARY,ABC,8683157,653329543,1.32906235
ADORE BEAUTY ORDINARY,ABY,2029212,93907372,2.1608655
ADRIATIC METALS CDI 1:1,ADT,1379818,239949933,.57504413
ADVANCED HEALTH ORDINARY,AHI,1000,229453966,.00043582
AERIS RESOURCES LTD ORDINARY,AIS,9353872,694498187,1.34685334
AGL ENERGY LIMITED. ORDINARY,AGL,18754845,672747233,2.78779965
AIR NEW ZEALAND ORD FOR. EXEMPT NZX,AIZ,398169,3368464315,.01182049
AIRTASKER LIMITED ORDINARY,ART,235487,451721250,.05213104
ALCIDION GROUP LTD ORDINARY,ALC,2106744,1337433279,.15752143
ALKANE RESOURCES LTD ORDINARY,ALK,157583,603026512,.02613202
ALLIGATOR ENERGY ORDINARY,AGE,9928517,3862309002,.2570617
ALLKEM LIMITED ORDINARY,AKE,6774074,639321293,1.05957272
ALPHA HPA LTD ORDINARY,A4N,17486724,933799090,1.87264308
ALS LTD ORDINARY,ALQ,2567416,484167684,.53027414
ALTECH BATT LTD ORDINARY,ATC,2413812,1653325887,.14599735
ALTIUM LIMITED ORDINARY,ALU,432572,131926838,.32788779
ALUMINA LIMITED ORDINARY,AWC,101804787,2901681417,3.50847569
AMA GROUP LIMITED ORDINARY,AMA,13278999,1772299095,.74925271
AMCOR PLC CDI1:1FOREXEMPT NYSE,AMC,9460557,640143601,1.47788043
AMERICAN RARE EARTHS ORDINARY,ARR,199655,446423299,.04472325
AMP LIMITED ORDINARY,AMP,103270891,2750784831,3.75423369
AMPOL LIMITED ORDINARY,ALD,4599241,238302099,1.9300044
ANDROMEDA METALS LTD ORDINARY,ADN,78641243,3110008432,2.52865048
ANSELL LIMITED ORDINARY,ANN,2963028,125390219,2.36304556
ANSON RESOURCES LTD ORDINARY,ASN,17269745,1285739169,1.34317639
ANZ GROUP HOLDINGS ORDINARY,ANZ,29097567,3005286886,.96821262
APA GROUP UNITS STAPLED,APA,6869536,1282957939,.53544515
APM HUMAN SERVICES ORDINARY,APM,20480990,917181946,2.23303458
APPEN LIMITED ORDINARY,APX,15081505,156921599,9.61085351
ARAFURA RARE EARTHS ORDINARY,ARU,151731130,2113364692,7.17959993
ARB CORPORATION. ORDINARY,ARB,3671202,82220441,4.46507213
ARCHER MATERIALS ORDINARY,AXE,259741,254847013,.10192036
ARDENTLEISUREGRPLTD ORDINARY,ALG,4647551,479706016,.96883317
ARENA REIT. FPO/UNITS STAPLED,ARF,1272016,353879820,.35944858
ARGOSY MINERALS LTD ORDINARY,AGY,93533630,1404407498,6.66000645
ARISTOCRAT LEISURE ORDINARY,ALL,1741994,648560092,.26859408
ARIZONA LITHIUM LTD ORDINARY,AZL,5166714,3318786024,.15568084
ARN MEDIA LIMITED ORDINARY,A1N,3889343,305488183,1.27315661
ARTICORE GROUP LTD ORDINARY,ATG,1875373,282720223,.66333175
ASTON MINERALS LTD ORDINARY,ASO,826162,1295064269,.06379313
ASX LIMITED ORDINARY,ASX,4320655,193595162,2.23179906
ATLAS ARTERIA FPOSTUSPROHEXCLQUP,ALX,17357035,1450833707,1.19634903
ATOMOS ORDINARY,AMS,3894204,401821079,.9691388
AU CLINICAL LABS ORDINARY,ACL,12900370,201834015,6.39157379
AUB GROUP LTD ORDINARY,AUB,472942,108405620,.43627074
AUCKLAND INTERNATION ORD FOR.EXEMPT NZX,AIA,2982584,1472551137,.20254536
AUDINATEGROUPLTD ORDINARY,AD8,70231,83108836,.08450485
AUDIO PIXELS LTD ORDINARY,AKP,276,29210100,.00094488
AURA ENERGY ORDINARY,AEE,2150896,578783629,.3716235
AURELIA METALS LTD ORDINARY,AMI,7846898,1689767404,.4643774
AURIZON HOLDINGS LTD ORDINARY,AZJ,53886041,1840703982,2.92746914
AUSGOV TREASURY BOND TB 0.50% 09-26 6M,GSBQ26,71870,386000000,.01861917
AUSGOV TREASURY BOND TB 1.00% 12-30 6M,GSBW30,85190,387000000,.02201292
AUSGOV TREASURY BOND TB 1.75% 06-51 6M,GSBK51,364980,196000000,.18621429
AUSGOV TREASURY BOND TB 2.50% 05-30 6M,GSBI30,7490,371000000,.00201887
AUSGOV TREASURY BOND TB 2.75% 04-24 6M,GSBG24,221200,359000000,.0616156
AUSGOV TREASURY BOND TB 2.75% 05-41 6M,GSBI41,47410,143000000,.03315385
AUSGOV TREASURY BOND TB 2.75% 11-27 6M,GSBU27,185390,322000000,.05757453
