Product,Product Code,Reported Short Positions,Total Product in Issue,% of Total Product in Issue Reported as Short Positions
4DMEDICAL LIMITED ORDINARY,4DX,140328,346580003,.04048935
4DS MEMORY LIMITED ORDINARY,4DS,741334,1749084918,.04238411
5EADVANCED CDI 10:1,5EA,456528,307660170,.1483871
29METALSLIMITED ORDINARY,29M,19130156,701315330,2.72775386
88 ENERGY LTD ORDINARY,88E,8183949,24318655048,.03365297
A2B AUSTRALIA LTD ORDINARY,A2B,524176,122285271,.42865015
ABACUS GROUP FPO/UNITS STAPLED,ABG,1977021,893657633,.22122801
ABACUS STORAGE KING FPO/UNITS STAPLED,ASK,518996,1314102962,.03949432
ACCENT GROUP LTD ORDINARY,AX1,3915977,563053196,.6954897
ACTINOGEN MEDICAL ORDINARY,ACW,1070,2307310088,.00004637
ADAIRS LIMITED ORDINARY,ADH,4537820,173050982,2.62224458
ADBRI LIMITED ORDINARY,ABC,8415684,653329543,1.28812237
ADORE BEAUTY ORDINARY,ABY,2028995,93907372,2.16063442
ADRIATIC METALS CDI 1:1,ADT,1472307,240993730,.61093166
AERIS RESOURCES LTD ORDINARY,AIS,2270394,897756700,.25289636
AGL ENERGY LIMITED. ORDINARY,AGL,19587708,672747233,2.91159994
AIR NEW ZEALAND ORD FOR. EXEMPT NZX,AIZ,371844,3368464315,.01103898
AIRTASKER LIMITED ORDINARY,ART,240879,451777937,.05331801
ALCIDION GROUP LTD ORDINARY,ALC,2029206,1342473221,.1511543
ALKANE RESOURCES LTD ORDINARY,ALK,160526,603437317,.02660193
ALLIGATOR ENERGY ORDINARY,AGE,13486039,3862309002,.34917038
ALLKEM LIMITED ORDINARY,AKE,8267325,639321293,1.29314088
ALPHA HPA LTD ORDINARY,A4N,17322498,933799090,1.85505621
ALS LTD ORDINARY,ALQ,5673878,484167684,1.17188284
ALTECH BATT LTD ORDINARY,ATC,2342335,1653325887,.14167413
ALTIUM LIMITED ORDINARY,ALU,443976,131926838,.33653198
ALUMINA LIMITED ORDINARY,AWC,116617393,2901681417,4.01895923
AMA GROUP LIMITED ORDINARY,AMA,15641651,1806403551,.86590015
AMCOR PLC CDI1:1FOREXEMPT NYSE,AMC,9426839,641071337,1.47048206
AMERICAN RARE EARTHS ORDINARY,ARR,5035,446423299,.00112785
AMP LIMITED ORDINARY,AMP,74036030,2750784831,2.69145115
AMPOL LIMITED ORDINARY,ALD,3947797,238302099,1.65663543
ANDROMEDA METALS LTD ORDINARY,ADN,67306012,3110008432,2.16417458
ANSELL LIMITED ORDINARY,ANN,2947544,125390219,2.35069691
ANSON RESOURCES LTD ORDINARY,ASN,18501701,1285739169,1.43899334
ANZ GROUP HOLDINGS ORDINARY,ANZ,17840770,3005286886,.59364615
APA GROUP UNITS STAPLED,APA,12939706,1282957939,1.00858381
APM HUMAN SERVICES ORDINARY,APM,22611604,917181946,2.46533462
APPEN LIMITED ORDINARY,APX,13758127,179917862,7.64689334
ARAFURA RARE EARTHS ORDINARY,ARU,107668315,2113364692,5.09463962
ARB CORPORATION. ORDINARY,ARB,3295602,82220441,4.00825143
