Product,Product Code,Reported Short Positions,Total Product in Issue,% of Total Product in Issue Reported as Short Positions
4DMEDICAL LIMITED ORDINARY,4DX,217209,391089870,.05553941
4DS MEMORY LIMITED ORDINARY,4DS,183881,1763434918,.01042743
5EADVANCED CDI 10:1,5EA,448599,313803360,.14295545
29METALSLIMITED ORDINARY,29M,15218802,701699237,2.16884973
88 ENERGY LTD ORDINARY,88E,6580151,25124062567,.02619063
ABACUS GROUP FPO/UNITS STAPLED,ABG,1106412,893657633,.12380714
ABACUS STORAGE KING FPO/UNITS STAPLED,ASK,71782,1314102962,.00546243
ACCENT GROUP LTD ORDINARY,AX1,5851077,563053196,1.03916949
ACTINOGEN MEDICAL ORDINARY,ACW,84,2331337384,.0000036
ACUSENSUS LIMITED. ORDINARY,ACE,150777,126399975,.11928562
ADAIRS LIMITED ORDINARY,ADH,1134517,173050982,.65559697
ADBRI LIMITED ORDINARY,ABC,733045,654243396,.11204469
ADORE BEAUTY ORDINARY,ABY,542816,93957928,.5777224
ADRIATIC METALS CDI 1:1,ADT,2915798,246113823,1.18473557
ADVANCED HEALTH ORDINARY,AHI,20052,245653382,.00816272
AERIS RESOURCES LTD ORDINARY,AIS,6008647,967525540,.62103239
AGL ENERGY LIMITED. ORDINARY,AGL,18642178,672747233,2.77105235
AINSWORTH GAME TECH. ORDINARY,AGI,281614,336793929,.08361612
AIR NEW ZEALAND ORD FOR. EXEMPT NZX,AIZ,919495,3368464315,.02729716
AIRTASKER LIMITED ORDINARY,ART,49758,452294380,.01100124
ALCIDION GROUP LTD ORDINARY,ALC,318112,1342473221,.02369597
ALICE QUEEN LTD ORDINARY,AQX,8359,690984130,.00120972
ALKANE RESOURCES LTD ORDINARY,ALK,1385718,603437317,.22963744
ALLIANCE AVIATION ORDINARY,AQZ,3027,160734697,.00188323
ALLIGATOR ENERGY ORDINARY,AGE,30643919,3862309002,.7934093
ALPHA HPA LTD ORDINARY,A4N,16523155,933799090,1.76945503
ALS LTD ORDINARY,ALQ,3104582,484167684,.64122041
ALTECH BATT LTD ORDINARY,ATC,2033239,1653325887,.12297872
ALTERITY THERAP LTD ORDINARY,ATH,1714968,5238017899,.03274078
ALTIUM LIMITED ORDINARY,ALU,646625,131926838,.49013909
ALUMINA LIMITED ORDINARY,AWC,69068503,2901681417,2.38029243
